ID,Topic_EN,Topic_ES,Topic_DE,Topic_FR,Topic_ZH,Description_EN,Description_ES,Description_DE,Description_FR,Description_ZH,Level,Estimated_Hours,Resources
602,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,26,"Kaggle, GitHub, Research Papers"
603,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,43,"Coursera, YouTube, Books"
604,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Beginner,39,"Coursera, YouTube, Books"
605,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,22,"Kaggle, GitHub, Research Papers"
606,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Beginner,22,"Coursera, YouTube, Books"
607,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,50,"edX, Blogs, Tutorials"
608,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Intermediate,42,"edX, Blogs, Tutorials"
609,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Intermediate,38,"edX, Blogs, Tutorials"
610,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Beginner,35,"Coursera, YouTube, Books"
611,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Computer Vision,Methods to enable machines to understand images and videos.,Métodos para que las máquinas comprendan imágenes y videos.,"Methoden, damit Maschinen Bilder und Videos verstehen.",Méthodes pour permettre aux machines de comprendre les images et vidéos.,让机器理解图像和视频的方法。,Beginner,20,"Coursera, YouTube, Books"
612,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,45,"Kaggle, GitHub, Research Papers"
613,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,37,"Coursera, YouTube, Books"
614,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,23,"Coursera, YouTube, Books"
615,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,9,"edX, Blogs, Tutorials"
616,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,10,"edX, Blogs, Tutorials"
617,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Intermediate,25,"Kaggle, GitHub, Research Papers"
618,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,47,"edX, Blogs, Tutorials"
619,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,19,"Coursera, YouTube, Books"
620,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,33,"edX, Blogs, Tutorials"
621,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Intermediate,11,"Coursera, YouTube, Books"
622,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,49,"Coursera, YouTube, Books"
623,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Hyperparameter Tuning,Optimizing model parameters for best results.,Optimización de parámetros del modelo para mejores resultados.,Optimierung von Modellparametern für beste Ergebnisse.,Optimisation des paramètres du modèle pour de meilleurs résultats.,优化模型参数以获得最佳结果。,Beginner,38,"Coursera, YouTube, Books"
624,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Machine Learning Basics,Introduction to ML concepts and algorithms.,Introducción a los conceptos y algoritmos de ML.,Einführung in ML-Konzepte und Algorithmen.,Introduction aux concepts et algorithmes de ML.,机器学习概念和算法简介。,Advanced,21,"Coursera, YouTube, Books"
625,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,AI Research Papers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,35,"edX, Blogs, Tutorials"
626,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Beginner,41,"Coursera, YouTube, Books"
627,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Neural Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,25,"Coursera, YouTube, Books"
628,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,AI Project Deployment,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,45,"Coursera, YouTube, Books"
629,AI in Finance,AI in Finance,AI in Finance,AI in Finance,AI in Finance,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,6,"edX, Blogs, Tutorials"
630,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,13,"Kaggle, GitHub, Research Papers"
631,Transformers,Transformers,Transformers,Transformers,Transformers,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,11,"Kaggle, GitHub, Research Papers"
632,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,43,"Coursera, YouTube, Books"
633,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Intermediate,18,"edX, Blogs, Tutorials"
634,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,AI in Healthcare,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,20,"edX, Blogs, Tutorials"
635,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,AI in Robotics,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,31,"Coursera, YouTube, Books"
636,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Beginner,23,"edX, Blogs, Tutorials"
637,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Deep Learning,Study of neural networks and deep architectures.,Estudio de redes neuronales y arquitecturas profundas.,Studium von neuronalen Netzen und tiefen Architekturen.,Étude des réseaux neuronaux et des architectures profondes.,神经网络与深度结构研究。,Beginner,7,"Coursera, YouTube, Books"
638,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Feature Engineering,Creating meaningful features from raw data.,Creación de características significativas a partir de datos sin procesar.,Erstellung aussagekräftiger Merkmale aus Rohdaten.,Création de caractéristiques significatives à partir de données brutes.,从原始数据创建有意义的特征。,Intermediate,35,"Kaggle, GitHub, Research Papers"
639,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Convolutional Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,30,"Coursera, YouTube, Books"
640,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Beginner,40,"edX, Blogs, Tutorials"
641,Generative AI,Generative AI,Generative AI,Generative AI,Generative AI,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,30,"Coursera, YouTube, Books"
642,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Reinforcement Learning,Learning optimal actions through rewards and penalties.,Aprendizaje de acciones óptimas mediante recompensas y penalizaciones.,Erlernen optimaler Aktionen durch Belohnungen und Bestrafungen.,Apprentissage des actions optimales via récompenses et pénalités.,通过奖励和惩罚学习最优动作。,Intermediate,25,"edX, Blogs, Tutorials"
643,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Beginner,40,"edX, Blogs, Tutorials"
644,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,23,"edX, Blogs, Tutorials"
645,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Intermediate,23,"edX, Blogs, Tutorials"
646,AI Ethics,AI Ethics,AI Ethics,AI Ethics,AI Ethics,Understanding ethical concerns in AI applications.,Comprender los problemas éticos en aplicaciones de IA.,Verstehen ethischer Bedenken in KI-Anwendungen.,Comprendre les enjeux éthiques dans les applications IA.,理解人工智能应用中的伦理问题。,Advanced,13,"edX, Blogs, Tutorials"
647,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Recurrent Networks,Learn AI topic,Aprende tema de IA,Lerne AI-Thema,Apprenez le sujet IA,学习人工智能主题,Advanced,49,"Coursera, YouTube, Books"
648,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Model Evaluation,Techniques to assess ML model performance.,Técnicas para evaluar el rendimiento del modelo ML.,Techniken zur Bewertung der ML-Modellleistung.,Techniques pour évaluer les performances du modèle ML.,评估机器学习模型性能的技术。,Beginner,13,"edX, Blogs, Tutorials"
